schoolcampus,dbn,bldg_code
SUCCESS ACADEMY CHARTER SCHOOL - BED-STUY 1(BN),84K367,K033
P368(BN),75K368,K033
P369(BN),75K369,K369
P370(BS),75K370,K370
P371(BS),75K371,K371
P373 BKYLN TRANSITION CTR(BN),75K373,K148
PS 375(BROOKLYN),17K375,K320
PS 376(BROOKLYN),32K376,K376
PS 380(BROOKLYN),14K380,K380
ACADEMY FOR COLLEGE PREPARATION & CAREER EXPLORATION(BS),17K382,K465
PS 384(BROOKLYN),32K384,K384
MS 394(BN),17K394,K210
PS 396(BROOKLYN),23K396,K396
PS 397(BROOKLYN),17K397,K397
MIDWOOD HS(BS),22K405,K405
TEACHING FIRMS OF AMERICA PROFESSIONAL PREPARATORY CHARTER SCHOOL(BN),84K406,K308
ACADEMY OF HOSPITALITY &TOURISM(BS),17K408,K465
EAST NEW YORK FAMILY ACADEMY(BN),19K409,K660
ABRAHAM LINCOLN HS(BS),21K410,K410
BROOKLYN COMMUNITY HS OF COMMUNICATION ARTS & MEDIA(BN),13K412,K117
JHS 117(BN),13K117,K117
BROOKLYN FRONTIERS HS(BN),15K423,K520
JAMES MADISON HS(BS),22K425,K425
DIGITAL ARTS & CINEMA TECHNOLOGY HIGH SCHOOL (GLOBAL STUDIES-BS),15K429,K293
BROOKLYN TECHNICAL HS(BN),13K430,K430
THOMAS JEFFERSON HS(BROOKLYN),19K435,K435
NEW UTRECHT HS(BS),20K445,K445
BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES(BS),15K448,K142
IS 49(BN),14K049,K049
THE BROOKLYN LATIN SCHOOL(BROOKLYN),14K449,K449
BOYS AND GIRLS HS(BN),16K455,K455
JOHN JAY HS(BS),15K460,K460
SECONDARY SCHOOL FOR LAW(BROOKLYN),15K462,K460
SECONDARY SCHOOL FOR JOURNALISM(BROOKLYN),15K463,K460
PARK SLOPE COLLEGIATE(OLD SECONDARY SCHOOL FOR RESEARCH)(BS),15K464,K460
ERASMUS CAMPUS BUSINESS TEC(BS),17K479,K465
ERASMUS HALL HS(BS),17K000,K465
