latitude,longitude,school_name,school_no,gc,sw,enroll2022_21,enroll,dbn,black,hispanic,asian,multi,native_a,white,iep,poverty_no,grades_final_text,address,cic,yrly_cic_16_22,pct_chronic_absent,s_know_mh_re_ag,co_located,school_tag,split_skool,s_rr,school_type,lead_cbo_partner,school_psychologist_providing,provider,pct_temp_housing
40.582791,-74.160867,Space Shuttle Columbia School,R058,1.4,1.0,660.0,684.0,31R058,18.0,175.0,174.0,22.0,1.0,294.0,151.0,417,"PK,0K,01,02,03,04,05",77 MARSH AVENUE,4.0,"0,1,1,0,2,0,0",29.9,,R058,District,,,Elementary,,0.0,,5.256064609999999
40.647898,-74.083408,The Harbor View School,R059,0.0,1.4,306.0,286.0,31R059,118.0,106.0,8.0,16.0,2.0,36.0,54.0,196,"PK,0K,01,02,03,04,05",300 Richmond Terrace,5.0,"1,1,0,1,1,0,1",46.0,,,District,,,Elementary,,0.0,,7.06713796
40.610604,-74.162634,P.S. 060 Alice Austen,R060,1.0,0.8,753.0,709.0,31R060,27.0,200.0,138.0,15.0,2.0,325.0,189.0,421,"PK,0K,01,02,03,04,05,SE",55 MERRILL AVENUE,9.0,"1,2,2,1,3,0,0",46.9,,,District,,,Elementary,,0.0,,1.45695368
40.634497,-74.097941,I.S. 061 William A Morris,R061,4.0,0.6,1001.0,992.0,31R061,301.0,528.0,31.0,26.0,2.0,101.0,277.0,779,"06,07,08",445 CASTLETON AVENUE,22.0,"1,0,1,9,3,0,8",61.2,78.0,R061,District,,70.8029197080292,Junior High-Intermediate-Middle,,0.0,,11.42578125
40.541563,-74.217934,The Kathleen Grimm School for Leadership and Sustainability,R062,1.0,1.2,436.0,467.0,31R062,1.0,63.0,36.0,11.0,0.0,354.0,107.0,143,"PK,0K,01,02,03,04,05",644 Bloomingdale Road,1.0,"0,0,1,0,0,0,0",24.7,,,District,,,Elementary,,0.0,,
40.581958,-74.159343,Marsh Avenue School for Expeditionary Learning,R063,1.0,1.2,461.0,448.0,31R063,22.0,143.0,71.0,8.0,1.0,201.0,99.0,231,"06,07,08",100 ESSEX DRIVE,1.0,"1,0,0,0,0,0,0",26.9,85.0,R043,District,,83.59550561797752,Junior High-Intermediate-Middle,,0.0,,2.4553570899999997
40.581958,-74.159343,Gaynor McCown Expeditionary Learning School,R064,2.0,1.3,429.0,435.0,31R064,44.0,94.0,41.0,6.0,2.0,217.0,110.0,227,"09,10,11,12",100 ESSEX DRIVE,4.0,"0,3,0,0,0,1,0",38.2,83.0,R043,District,,63.91509433962265,High school,,0.0,,1.97802205
40.633666,-74.078337,P.S. 65 The Academy of Innovative Learning,R065,1.0,1.4,405.0,386.0,31R065,81.0,201.0,7.0,16.0,1.0,80.0,129.0,282,"PK,0K,01,02,03,04,05",98 GRANT STREET,2.0,"0,0,0,0,0,0,2",37.9,,,District,,,Elementary,,0.0,,3.8071066100000004
40.624781,-74.142526,Port Richmond School for Visionary Learning,R068,2.0,1.2,368.0,411.0,31R068,88.0,208.0,36.0,21.0,2.0,56.0,103.0,328,"0K,01,02,03,04,05",1625 FOREST AVENUE,0.0,"0,0,0,0,0,0,0",42.0,,,District,,,Elementary,,0.0,,12.44343892
40.59148,-74.157327,P.S. 069 Daniel D. Tompkins,R069,2.0,1.8,883.0,850.0,31R069,19.0,171.0,281.0,16.0,5.0,358.0,207.0,526,"0K,01,02,03,04,05",144 KEATING PLACE,1.0,"0,0,0,0,1,0,0",22.6,,,District,,,Elementary,,0.0,,
40.592132,-74.158618,I.S. 072 Rocco Laurie,R072,4.0,0.6,1517.0,1483.0,31R072,83.0,351.0,413.0,33.0,3.0,599.0,336.0,929,"06,07,08",33 FERNDALE AVENUE,15.0,"1,0,5,5,0,0,4",37.3,78.0,,District,,68.04692891649412,Junior High-Intermediate-Middle,,0.0,,2.58397926
40.638993,-74.079438,P.S. 74 Future Leaders Elementary School,R074,1.0,0.6,267.0,269.0,31R074,78.0,160.0,12.0,2.0,2.0,13.0,84.0,243,"0K,01,02,03,04,05",211 DANIEL LOW TERRACE,8.0,"0,0,1,4,0,1,2",68.5,,,District,,,Elementary,,0.0,,16.8350175
40.544535,-74.197033,I.S. 075 Frank D. Paulo,R075,4.0,0.4,1446.0,1356.0,31R075,33.0,210.0,186.0,16.0,5.0,904.0,292.0,556,"06,07,08",455 HUGUENOT AVENUE,9.0,"0,0,4,2,1,0,2",22.5,84.0,R075,District,,84.8644578313253,Junior High-Intermediate-Middle,,0.0,,2.0363636300000003
40.622415,-74.079228,P.S. 78,R078,2.0,1.2,670.0,587.0,31R078,242.0,275.0,31.0,7.0,9.0,23.0,214.0,Above 95,"PK,0K,01,02,03,04,05",100 TOMPKINS AVENUE,29.0,"0,4,17,6,1,0,1",60.3,,,District,,,Elementary,"New York Center for Interpersonal Development, Inc.",0.0,Richmond University Medical Center,7.66773149
40.607637,-74.105883,The Michael J. Petrides School,R080,2.0,1.0,1376.0,1404.0,31R080,296.0,438.0,168.0,28.0,2.0,461.0,397.0,762,"0K,01,02,03,04,05,06,07,08,09,10,11,12",715 OCEAN TERRACE,7.0,"0,1,1,2,1,0,2",42.8,78.0,R880,District,,70.13301088270859,K-12 all grades,,0.0,,2.41992883
40.570909,-74.105878,New Dorp High School,R440,15.0,5.0,3128.0,3178.0,31R440,309.0,889.0,412.0,27.0,13.0,1528.0,740.0,"1,940","09,10,11,12",465 NEW DORP LANE,45.0,"3,4,15,13,0,4,6",28.9,80.0,R435,District,,75.33096545043591,High school,,0.0,,3.00252847
40.635562,-74.141924,Port Richmond High School,R445,9.0,3.0,1538.0,1634.0,31R445,394.0,833.0,110.0,26.0,12.0,247.0,521.0,"1,321","09,10,11,12",85 ST JOSEPHS AVENUE,70.0,"2,16,13,11,4,13,11",53.8,88.0,R445,District,,60.15132408575031,High school,NY Center for Interpersonal Development,0.0,,7.5358852700000005
